,0
0,0.9337503607503607
1,0.9449692607587346
2,0.9678042089062866
3,0.9823373258579681
4,0.9841242283950618
5,0.990646642577537
6,0.9922549019607843
7,0.9937121212121213
8,0.9927883167720566
9,0.9939814814814817
10,0.9957671957671957
